AREA,DATE_SALE,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,SALES_PRICE,PARK_FACIL,DATE_BUILD,REG_FEE,COMMIS,SALE_COND
Adyar,25-02-2008,981,1,1,3,11434875,No,26-02-2003,400221,148653,Normal Sale
T Nagar,02-05-2012,1975,2,1,5,22199910,No,13-05-1969,599398,177599,Ab Normal
Karapakkam,05-02-2011,786,1,1,2,6495250,No,07-02-2001,266305,84438,Normal Sale
Karapakkam,29-05-2010,1094,1,1,3,3950000,No,06-06-1978,118500,75050,Partial
KK Nagar,01-07-2009,2293,4,2,6,12493960,No,07-07-1984,599710,112446,Adj Land
Anna Nagar,18-01-2013,1520,1,1,4,15754040,No,28-01-1976,504129,173294,Partial
KK Nagar,10-10-2008,1761,2,1,4,14214780,No,13-10-1999,639665,341155,Adj Land
Karapakkam,01-06-2010,1500,2,2,4,8547750,No,03-06-2003,273528,85478,Adj Land
Karapakkam,09-11-2009,715,1,1,2,5219625,No,12-11-1997,224444,99173,Ab Normal
Anna Nagar,13-10-2014,1901,2,1,5,14620220,No,15-10-2007,526328,219303,Adj Land
T Nagar,20-11-2013,1797,1,1,4,20623620,No,23-11-2002,783698,391849,Family
Chrompet,15-05-2008,901,1,1,3,7452620,No,21-05-1985,193768,81979,Normal Sale
Anna Nagar,15-12-2008,1602,1,1,4,17526220,No,23-12-1977,473208,332998,Ab Normal
T Nagar,25-02-2011,1665,1,1,4,12043670,No,01-03-1995,349266,228830,Family
Adyar,16-06-2011,801,1,1,3,8443700,No,21-06-1991,287086,50662,Normal Sale
Anna Nagar,18-01-2015,1705,1,1,4,19462090,No,21-01-2003,759022,291931,Adj Land
Adyar,07-01-2012,845,1,1,3,8155855,No,11-01-1995,260987,73403,Adj Land
T Nagar,05-11-2008,1943,2,1,5,13408980,No,08-11-1999,415678,147499,Normal Sale
T Nagar,20-07-2009,1881,2,1,5,13196500,No,29-07-1974,475074,211144,Ab Normal
Velachery,28-02-2012,1969,3,2,5,10682000,No,06-03-1987,416598,160230,Ab Normal
Chrompet,12-10-2013,878,1,1,3,7358650,No,20-10-1982,206042,29435,Partial
Chrompet,09-07-2008,1037,1,1,3,8629140,No,15-07-1985,276132,138066,Adj Land
KK Nagar,23-02-2012,1361,2,1,4,10049980,No,01-03-1984,401999,120600,Adj Land
Chrompet,01-10-2007,1020,1,1,3,12046000,No,04-10-1995,337288,72276,Partial
Velachery,28-09-2006,1651,2,1,4,12101540,No,30-09-1999,423554,145218,Ab Normal
Karapakkam,14-09-2009,508,1,1,2,7124500,No,21-09-1983,213735,142490,Ab Normal
Karapakkam,23-04-2010,1697,2,2,4,10985250,No,04-05-1967,472366,186749,Family
T Nagar,30-04-2007,1540,1,1,4,17436220,No,01-05-2001,557959,174362,Partial
Chrompet,12-02-2012,774,1,1,2,6857200,No,17-02-1992,226288,102858,Normal Sale
Chrompet,11-10-2013,1241,2,1,4,10454020,No,13-10-2006,334529,83632,Family
Velachery,08-04-2004,1768,2,1,4,10432830,No,19-04-1960,333851,73030,Normal Sale
Anna Nagar,02-01-2010,1592,1,1,4,10607450,No,10-01-1980,360653,127289,Normal Sale
Anna Nagar,29-11-2012,1552,1,1,4,17359980,No,10-12-1968,659679,121520,Partial
Chrompet,19-04-2010,1220,2,1,4,12813600,No,24-04-1990,410035,140950,Family
T Nagar,27-11-2012,1989,2,1,5,14459960,No,29-11-2005,549478,130140,Partial
Anna Nagar,30-01-2010,1939,2,1,5,21804220,No,06-02-1984,675931,196238,Ab Normal
Karapakkam,19-04-2011,1261,1,1,3,11646750,No,21-04-2002,430930,93174,Family
Karapakkam,30-11-2009,656,1,1,2,3001250,No,02-12-2002,138058,33014,Ab Normal
Adyar,22-12-2006,887,1,1,3,7383325,No,26-12-1991,251033,7383,Normal Sale
Velachery,26-05-2004,1673,2,1,4,13172210,No,30-05-1991,447855,263444,Partial
Karapakkam,21-10-2010,592,1,1,2,2797250,No,31-10-1971,137065,39162,Family
Chrompet,05-05-2010,1237,2,1,4,13937650,No,07-05-2003,376317,209065,Adj Land
Adyar,02-10-2010,1156,1,1,3,11290385,No,12-10-1971,440325,101613,Partial
Karapakkam,08-10-2009,1302,1,1,3,7233000,No,20-10-1960,303786,72330,Adj Land
Anna Nagar,27-08-2007,1796,1,1,4,13465550,No,02-09-1981,403967,175052,Adj Land
Chrompet,04-09-2007,1001,1,1,3,7688050,No,11-09-1976,246018,23064,Partial
T Nagar,02-12-2014,1502,1,1,4,10573780,No,12-12-1973,296066,74016,Partial
Adyar,11-12-2011,1132,1,1,3,6380465,No,18-12-1980,204175,95707,Ab Normal
Adyar,30-03-2012,1223,2,2,4,10978600,No,04-04-1992,384251,98807,Ab Normal
Anna Nagar,03-11-2008,1738,1,1,4,13293200,No,09-11-1985,505142,172812,Partial
Chrompet,25-01-2015,1057,1,1,3,7243850,No,03-02-1980,231803,94170,Partial
Karapakkam,10-11-2010,671,1,1,2,6161750,No,18-11-1979,227985,86265,Normal Sale
Anna Nagar,30-09-2010,1970,2,1,5,15845620,No,03-10-1999,538751,142611,Adj Land
Chrompet,29-08-2014,1222,2,1,4,13930950,No,05-09-1985,348274,125379,Partial
Anna Nagar,17-03-2009,1836,2,1,5,19296480,No,26-03-1975,656080,96482,Ab Normal
Karapakkam,07-03-2012,1430,2,2,4,6530500,No,10-03-2002,202446,143671,Family
Chrompet,27-09-2011,900,1,1,3,7855000,No,05-10-1979,243505,117825,Partial
Chrompet,16-02-2015,1151,1,1,3,8350550,No,21-02-1994,217114,25052,Partial
Anna Nagar,08-09-2011,1541,1,1,4,13321150,No,13-09-1990,372992,226460,Adj Land
Chrompet,12-11-2013,983,1,1,3,8291600,No,17-11-1993,257040,140957,Adj Land
KK Nagar,29-11-2009,1997,3,2,5,16453640,No,05-12-1987,773321,263258,Normal Sale
Velachery,25-10-2005,1888,3,2,5,11777200,No,28-10-1995,365093,153104,Ab Normal
Chrompet,18-07-2009,1162,1,1,3,13308950,No,27-07-1972,332724,106472,Partial
Karapakkam,24-01-2011,1124,1,1,3,7049500,No,04-02-1965,267881,126891,Family
T Nagar,07-02-2011,1611,1,1,4,12198470,No,16-02-1974,329359,97588,Normal Sale
KK Nagar,11-08-2010,1399,2,1,4,9106920,No,13-08-2003,355170,191245,Normal Sale
Chrompet,09-01-2012,920,1,1,3,8522150,No,18-01-1975,230098,102266,Ab Normal
Anna Nagar,19-12-2011,1804,2,1,5,13083950,No,20-12-2006,484106,209343,Ab Normal
Velachery,18-11-2008,1690,2,1,4,8802450,No,02-12-1953,325691,105629,Ab Normal
Velachery,16-01-2004,1502,2,1,4,6307030,No,29-01-1950,208132,94605,Normal Sale
T Nagar,22-06-2013,1991,2,1,5,22319600,No,25-06-2003,870464,424072,Normal Sale
Velachery,03-07-2007,1812,3,2,5,10105720,No,05-07-1996,394123,70740,Normal Sale
Chrompet,23-12-2006,1047,1,1,3,11867200,No,29-12-1982,308547,106805,Partial
Adyar,06-06-2009,641,1,1,2,6235675,No,07-06-2004,187070,6236,Adj Land
Anna Nagar,09-06-2013,1591,1,1,4,12220490,No,18-06-1976,317733,73323,Normal Sale
Adyar,19-03-2009,1027,1,1,3,6816270,No,24-03-1991,259018,40898,Ab Normal
T Nagar,19-01-2007,1885,2,1,5,12782330,No,24-01-1988,370688,63912,Ab Normal
Adyar,17-06-2011,674,1,1,2,7212670,No,26-06-1973,238018,14425,Normal Sale
Adyar,07-05-2007,719,1,1,2,4408790,No,13-05-1981,171943,35270,Family
Karapakkam,18-08-2010,792,1,1,2,3250250,No,30-08-1963,113759,65005,Family
KK Nagar,25-01-2010,2085,3,2,5,11638340,No,29-01-1993,570279,279320,Family
Adyar,22-03-2008,1069,1,1,3,7018200,No,27-03-1988,224582,35091,Partial
Adyar,09-05-2011,868,1,1,3,9626920,No,16-05-1983,385077,48135,Partial
Karapakkam,10-12-2011,862,1,1,2,6840500,No,11-12-2005,300982,143651,Family
Velachery,04-07-2010,1658,2,1,4,13754660,No,07-07-1997,495168,192565,Adj Land
Anna Nagar,29-01-2013,1814,2,1,5,13479660,No,31-01-2005,539186,256114,Family
KK Nagar,27-03-2009,2330,4,2,6,18428120,No,29-03-2003,700269,331706,Partial
Chrompet,08-01-2015,863,1,1,3,10491150,No,16-01-1982,304243,146876,Family
Chrompet,22-03-2008,796,1,1,2,7222220,No,28-03-1986,202222,36111,Adj Land
Karapakkam,02-11-2011,596,1,1,2,5259250,No,08-11-1984,215629,99926,Family
Chrompet,15-10-2009,945,1,1,3,11045500,No,18-10-1999,353456,33137,Normal Sale
Chrompet,25-11-2011,840,1,1,3,6791800,No,04-12-1975,217338,74710,Partial
Anna Nagar,22-11-2014,1799,1,1,4,13179060,No,01-12-1977,329477,158149,Normal Sale
T Nagar,23-11-2009,1769,1,1,4,20613320,No,30-11-1983,680240,144293,Adj Land
KK Nagar,13-01-2012,1354,2,1,4,9350120,No,16-01-2000,364655,233753,Adj Land
Velachery,26-06-2009,1944,3,2,5,8990700,No,05-07-1974,269721,80916,Adj Land
KK Nagar,20-05-2011,2237,4,2,6,18125300,No,21-05-2006,706887,344381,Ab Normal
Velachery,28-07-2006,1760,2,1,4,8065300,No,11-08-1951,306481,120980,Partial
Chrompet,07-07-2012,1159,1,1,3,8017830,No,13-07-1988,224499,80178,Ab Normal
Chrompet,02-07-2007,874,1,1,3,7586300,No,04-07-1997,227589,121381,Family
Adyar,16-09-2010,1082,1,1,3,7892890,No,22-09-1984,284144,110500,Adj Land
Karapakkam,21-05-2010,1112,1,1,3,4771750,No,31-05-1969,214729,57261,Family
Karapakkam,30-06-2010,1188,1,1,3,9345250,No,09-07-1975,327084,186905,Adj Land
Velachery,17-05-2009,1642,2,1,4,14666960,No,19-05-2001,513344,190670,Partial
Chrompet,19-02-2011,1032,1,1,3,7096350,No,23-02-1994,184505,99349,Normal Sale
T Nagar,16-05-2009,1657,1,1,4,11517200,No,21-05-1989,403102,138206,Ab Normal
Chrompet,03-10-2007,782,1,1,2,7751590,No,10-10-1976,224796,23255,Partial
Velachery,26-12-2006,1958,3,2,5,10004420,No,04-01-1971,340150,130057,Family
Karapakkam,12-11-2009,916,1,1,3,6042750,No,23-11-1964,217539,90641,Normal Sale
Karapakkam,08-08-2009,500,1,1,2,3540750,No,13-08-1988,169956,84978,Adj Land
Velachery,03-08-2005,1597,2,1,4,7216250,No,17-08-1950,230920,122676,Ab Normal
KK Nagar,17-07-2008,2211,3,2,5,12053600,No,20-07-1999,385715,192858,Ab Normal
Adyar,19-06-2010,921,1,1,3,8558785,No,24-06-1991,342351,25676,Partial
Anna Nagar,13-11-2014,1767,1,1,4,18402320,No,23-11-1973,496863,147219,Adj Land
Karapakkam,28-10-2009,517,1,1,2,3120000,No,08-11-1965,134160,40560,Normal Sale
Karapakkam,11-08-2009,828,1,1,2,4158500,No,13-08-2003,170499,95646,Normal Sale
KK Nagar,11-08-2008,1328,1,1,3,9235640,No,14-08-1996,277069,221655,Partial
T Nagar,09-01-2008,1919,2,1,5,22027780,No,15-01-1984,572722,176222,Normal Sale
Velachery,22-03-2007,1694,2,1,4,10506840,No,27-03-1985,388753,157603,Partial
Velachery,24-03-2004,1767,2,1,4,10512770,No,28-03-1988,336409,189230,Adj Land
KK Nagar,26-02-2011,1407,2,1,4,9239640,No,27-02-2006,397305,92396,Ab Normal
Karapakkam,24-10-2010,1229,1,1,3,9429000,No,26-10-2002,311157,188580,Family
KK Nagar,17-02-2009,2259,4,2,6,11874300,No,21-02-1993,474972,225612,Partial
Velachery,12-07-2004,1885,3,2,5,8134610,No,23-07-1961,260308,113885,Normal Sale
Chrompet,27-12-2012,717,1,1,2,7539800,No,03-01-1985,248813,75398,Adj Land
KK Nagar,08-12-2008,2158,3,2,5,9753980,No,16-12-1979,468191,117048,Family
Chrompet,16-09-2011,823,1,1,3,8261100,No,22-09-1985,231311,140439,Adj Land
Anna Nagar,16-04-2009,1530,1,1,4,17396720,No,20-04-1993,608885,295744,Ab Normal
Karapakkam,18-12-2011,1311,1,1,3,5923125,No,25-12-1983,183617,100693,Ab Normal
Chrompet,11-11-2014,819,1,1,3,11624150,No,14-11-2001,302228,174362,Ab Normal
Velachery,27-08-2006,1957,3,2,5,16043910,No,29-08-1998,625712,192527,Partial
Chrompet,05-02-2015,1136,1,1,3,8319250,No,10-02-1996,216301,83193,Adj Land
Karapakkam,14-02-2012,1337,2,2,4,6904000,No,20-02-1986,255448,117368,Ab Normal
Adyar,11-08-2009,895,1,1,3,10161065,No,14-08-1998,396282,132094,Adj Land
Velachery,04-10-2010,1666,2,1,4,7342750,No,08-10-1995,220283,102799,Normal Sale
Karapakkam,22-11-2010,813,1,1,2,6631500,No,01-12-1972,311681,112736,Partial
Karapakkam,16-10-2009,1033,1,1,3,4076000,No,23-10-1983,134508,73368,Partial
Karapakkam,12-04-2010,1275,1,1,3,8431750,No,18-04-1987,269816,168635,Partial
KK Nagar,09-10-2009,1916,3,2,5,11069780,No,12-10-1996,420652,143907,Adj Land
KK Nagar,27-07-2010,1488,2,1,4,11991960,No,29-07-2002,527646,287807,Partial
Karapakkam,15-08-2011,1504,2,2,4,6705750,No,25-08-1970,207878,154232,Adj Land
KK Nagar,29-01-2010,1950,3,2,5,15461440,No,04-02-1988,602996,293767,Normal Sale
Adyar,16-02-2007,1279,2,2,4,13744855,No,20-02-1990,453580,137449,Ab Normal
Anna Nagar,08-08-2014,1931,2,1,5,13466270,No,16-08-1982,403988,201994,Normal Sale
Adyar,29-01-2009,1066,1,1,3,12063670,No,08-02-1971,434292,120637,Adj Land
Chrompet,06-12-2009,809,1,1,3,7193800,No,11-12-1989,201426,86326,Family
Chrompet,24-01-2009,897,1,1,3,7022890,No,29-01-1989,189618,98320,Partial
Karapakkam,08-12-2009,630,1,1,2,4996250,No,10-12-2002,209843,64951,Normal Sale
Chrompet,31-12-2008,740,1,1,2,8052400,No,03-01-1997,233520,88576,Family
Adyar,07-08-2011,999,1,1,3,11946470,No,16-08-1973,370341,83625,Adj Land
Karapakkam,20-11-2009,1632,2,2,4,11760250,No,26-11-1986,564492,258726,Normal Sale
KK Nagar,12-04-2011,1321,1,1,3,9321900,No,13-04-2006,419486,158472,Family
Adyar,02-09-2007,661,1,1,2,7321755,No,06-09-1990,263583,21965,Normal Sale
Karapakkam,30-01-2011,1275,1,1,3,10149750,No,09-02-1970,436439,162396,Partial
T Nagar,02-10-2012,1655,1,1,4,13904760,No,12-10-1974,528381,69524,Adj Land
Velachery,18-03-2012,1644,2,1,4,10881060,No,27-03-1979,424361,108811,Adj Land
Velachery,19-08-2005,1836,3,2,5,10225500,No,01-09-1955,327216,81804,Normal Sale
Karapakkam,22-07-2010,1223,1,1,3,8509625,No,29-07-1980,280818,76587,Partial
Chrompet,09-02-2009,1192,1,1,3,8007290,No,17-02-1978,248226,136124,Normal Sale
Chrompet,05-04-2012,732,1,1,2,6873290,No,12-04-1985,199325,82479,Adj Land
Karapakkam,05-04-2011,970,1,1,3,5369000,No,14-04-1972,236236,53690,Normal Sale
Chrompet,05-08-2007,1060,1,1,3,12248000,No,13-08-1975,342944,134728,Normal Sale
T Nagar,15-11-2010,1990,2,1,5,13784930,No,26-11-1966,523827,220559,Ab Normal
KK Nagar,03-10-2010,1919,3,2,5,11680440,No,06-10-1997,467218,163526,Ab Normal
Chrompet,18-09-2010,704,1,1,2,8994000,No,27-09-1974,278814,107928,Family
Adyar,22-06-2011,1070,1,1,3,14465005,No,23-06-2004,462880,188045,Normal Sale
Karapakkam,01-10-2011,888,1,1,2,4663000,No,04-10-1999,205172,60619,Partial
Anna Nagar,19-04-2012,1703,1,1,4,18712070,No,22-04-2001,729771,280681,Partial
Chrompet,15-08-2009,819,1,1,3,8262630,No,20-08-1989,206566,57838,Family
Anna Nagar,07-01-2011,1814,2,1,5,12012530,No,15-01-1977,312326,192200,Adj Land
Chrompet,06-08-2008,711,1,1,2,9622550,No,11-08-1991,317544,134716,Adj Land
Chrompet,20-12-2012,1028,1,1,3,9429860,No,26-12-1990,264036,28290,Normal Sale
KK Nagar,13-03-2008,2178,3,2,5,17336020,No,16-03-1997,641433,190696,Partial
Chrompet,04-02-2008,1300,2,1,4,14366450,No,05-02-2001,402261,244230,Adj Land
Adyar,30-12-2010,1175,1,1,3,7038165,No,02-01-2000,253374,70382,Normal Sale
Chrompet,28-09-2011,1294,2,1,4,9492700,No,05-10-1981,256303,85434,Normal Sale
Chrompet,05-03-2012,835,1,1,3,10905500,No,13-03-1982,338071,76339,Normal Sale
T Nagar,03-01-2015,1964,2,1,5,21875100,No,05-01-2005,787504,393752,Adj Land
Chrompet,25-12-2007,798,1,1,2,6646210,No,01-01-1979,186094,33231,Adj Land
KK Nagar,13-06-2008,1657,2,1,4,9367960,No,18-06-1990,355982,112416,Adj Land
Adyar,25-06-2008,914,1,1,3,7895235,No,03-07-1979,300019,71057,Partial
Chrompet,02-11-2011,885,1,1,3,10088000,No,10-11-1979,272376,131144,Ab Normal
Velachery,01-12-2004,1572,2,1,4,13627500,No,09-12-1974,504218,177158,Ab Normal
KK Nagar,16-09-2008,1330,1,1,3,11868140,No,18-09-2001,486594,201758,Partial
Anna Nagar,25-09-2007,1591,1,1,4,11883360,No,04-10-1969,415918,59417,Normal Sale
KK Nagar,18-11-2011,1404,2,1,4,8511480,No,21-11-1997,289390,195764,Ab Normal
Anna Nagar,23-06-2009,1867,2,1,5,20420270,No,27-06-1993,612608,102101,Partial
KK Nagar,27-03-2008,2479,4,2,6,13039760,No,01-04-1989,508551,117358,Family
Adyar,04-05-2009,1035,1,1,3,9081775,No,05-05-2004,299699,99900,Ab Normal
Karapakkam,11-05-2011,1563,2,2,4,6192250,No,18-05-1982,210537,80499,Family
Chrompet,11-01-2014,725,1,1,2,7094000,No,14-01-2002,184444,120598,Ab Normal
KK Nagar,08-06-2008,2442,4,2,6,12588460,No,11-06-1997,390242,201415,Ab Normal
Anna Nagar,24-09-2007,1744,1,1,4,18115790,No,02-10-1975,688400,144926,Family
KK Nagar,01-01-2009,1323,1,1,3,11915040,No,04-01-1997,381281,297876,Partial
Velachery,19-01-2005,1864,3,2,5,11293450,No,23-01-1990,406564,180695,Adj Land
Anna Nagar,20-08-2013,1669,1,1,4,13022050,No,21-08-2008,351595,104176,Adj Land
Karapakkam,02-01-2011,813,1,1,2,4198000,No,13-01-1965,172118,96554,Adj Land
Chrompet,27-12-2014,1277,2,1,4,14407200,No,31-12-1998,432216,72036,Partial
Chrompet,08-02-2008,1028,1,1,3,11206050,No,13-02-1985,324975,145679,Partial
Anna Nagar,09-06-2009,1572,1,1,4,12206870,No,15-06-1986,402827,219724,Ab Normal
Velachery,09-12-2007,1507,2,1,4,7807300,No,21-12-1957,273256,101495,Ab Normal
Adyar,11-08-2009,1023,1,1,3,10812320,No,18-08-1981,367619,75686,Normal Sale
KK Nagar,08-08-2010,1348,2,1,4,7884540,No,10-08-2003,346920,78845,Normal Sale
Chrompet,31-01-2014,1125,1,1,3,13021950,No,04-02-1997,403680,78132,Adj Land
Chrompet,15-02-2008,1066,1,1,3,10248370,No,20-02-1987,327948,153726,Adj Land
KK Nagar,20-10-2011,1459,2,1,4,8328620,No,25-10-1990,299830,166572,Family
Velachery,21-10-2010,1808,3,2,5,13898300,No,04-11-1955,542034,138983,Family
Chrompet,23-05-2010,1205,2,1,4,10415550,No,28-05-1988,333298,145818,Adj Land
Karapakkam,26-04-2010,712,1,1,2,7379750,No,03-05-1981,258291,147595,Ab Normal
T Nagar,06-12-2014,1710,1,1,4,13839120,No,07-12-2008,373656,83035,Ab Normal
Chrompet,25-05-2014,1154,1,1,3,7734200,No,29-05-1998,232026,69608,Partial
Velachery,09-07-2009,1906,3,2,5,9047980,No,23-07-1955,280487,117624,Family
Chrompet,15-11-2013,865,1,1,3,10847000,No,21-11-1989,357951,130164,Ab Normal
Chrompet,29-03-2012,1224,2,1,4,8799300,No,06-04-1982,246380,96792,Family
Anna Nagar,17-06-2013,1719,1,1,4,13714220,No,22-06-1993,411427,164571,Ab Normal
Chrompet,02-07-2013,752,1,1,2,7695240,No,12-07-1973,246248,23086,Normal Sale
Karapakkam,04-04-2010,1624,2,2,4,7802500,No,14-04-1968,374520,78025,Family
Velachery,26-08-2006,1590,2,1,4,10858770,No,04-09-1970,412633,184599,Adj Land
Chrompet,13-05-2011,998,1,1,3,6207400,No,22-05-1975,173807,55867,Partial
Chrompet,12-12-2010,887,1,1,3,10411700,No,16-12-1992,270704,156176,Ab Normal
Chrompet,22-03-2012,1060,1,1,3,10843350,No,31-03-1979,346987,32530,Family
Chrompet,05-12-2008,1138,1,1,3,14414800,No,07-12-2000,446859,72074,Ab Normal
Karapakkam,02-10-2009,1277,1,1,3,10587750,No,06-10-1992,455273,84702,Family
T Nagar,05-01-2013,1580,1,1,4,19286610,No,07-01-2005,694318,154293,Adj Land
Chrompet,13-09-2007,1033,1,1,3,8111250,No,16-09-1992,259560,48668,Family
KK Nagar,02-01-2012,1969,3,2,5,16889580,No,04-01-2003,557356,320902,Normal Sale
Velachery,06-09-2008,1563,2,1,4,6087100,No,15-09-1973,243484,115655,Family
Anna Nagar,09-11-2014,1756,1,1,4,14179360,No,12-11-2000,425381,170152,Partial
Anna Nagar,30-05-2011,1698,1,1,4,13753510,No,01-06-2000,522633,110028,Ab Normal
Anna Nagar,04-08-2010,1689,1,1,4,18588600,No,11-08-1980,650601,167297,Adj Land
Anna Nagar,17-08-2007,1680,1,1,4,13367060,No,21-08-1989,387645,173772,Family
Chrompet,10-01-2008,1170,1,1,3,8936650,No,16-01-1983,294909,107240,Partial
Karapakkam,28-10-2009,1030,1,1,3,5140750,No,08-11-1967,210771,56548,Partial
Karapakkam,16-09-2011,1338,2,2,4,6784000,No,21-09-1988,325632,115328,Adj Land
Adyar,09-11-2008,1217,2,2,4,14908785,No,19-11-1969,596351,119270,Adj Land
KK Nagar,17-01-2009,2322,4,2,6,17790400,No,20-01-1999,640454,266856,Family
Anna Nagar,26-02-2007,1691,1,1,4,11855350,No,27-02-2002,414937,59277,Adj Land
Velachery,06-10-2009,1545,2,1,4,6074780,No,13-10-1980,188318,78972,Partial
Chrompet,29-01-2010,1136,1,1,3,8802320,No,03-02-1990,246465,123232,Ab Normal
Velachery,25-10-2011,1997,3,2,5,8391470,No,06-11-1960,327267,142655,Family
Adyar,22-03-2011,878,1,1,3,8576620,No,29-03-1983,291605,51460,Adj Land
Karapakkam,07-10-2009,521,1,1,2,2156875,No,13-10-1985,71177,25883,Partial
Chrompet,04-04-2012,734,1,1,2,6473180,No,14-04-1972,194195,32366,Family
Chrompet,26-01-2012,814,1,1,3,8131700,No,30-01-1994,211424,105712,Normal Sale
Chrompet,29-10-2007,1215,2,1,4,9307200,No,03-11-1987,279216,130301,Adj Land
Adyar,29-11-2010,973,1,1,3,10940805,No,01-12-2003,393869,109408,Partial
Chrompet,02-06-2007,969,1,1,3,12412600,No,08-06-1983,372378,111713,Adj Land
KK Nagar,05-11-2009,1609,2,1,4,8640800,No,13-11-1979,362914,207379,Family
KK Nagar,01-05-2008,1917,3,2,5,11847900,No,03-05-2000,545003,284350,Partial
Velachery,13-03-2010,1530,2,1,4,10918760,No,20-03-1982,360319,141944,Partial
Velachery,11-12-2011,1840,3,2,5,8243200,No,19-12-1976,255539,98918,Partial
T Nagar,27-04-2009,1930,2,1,5,11727250,No,08-05-1964,351818,58636,Normal Sale
Velachery,07-05-2009,1942,3,2,5,8905050,No,13-05-1984,267152,133576,Adj Land
Karapakkam,05-01-2011,1434,2,2,4,7034750,No,14-01-1974,253251,84417,Family
Chrompet,13-08-2009,1081,1,1,3,8944400,No,23-08-1969,268332,71555,Family
Adyar,03-01-2012,685,1,1,2,6086550,No,05-01-2002,206943,42606,Partial
KK Nagar,17-10-2011,2025,3,2,5,17645160,No,19-10-2003,688161,282323,Adj Land
KK Nagar,05-09-2008,1731,2,1,4,10256260,No,11-09-1985,451275,102563,Normal Sale
Velachery,11-03-2007,1704,2,1,4,7811540,No,17-03-1980,257781,156231,Adj Land
Karapakkam,30-05-2011,610,1,1,2,5332750,No,04-06-1990,191979,117321,Normal Sale
Adyar,11-06-2009,640,1,1,2,6445810,No,15-06-1995,212712,51566,Partial
Karapakkam,21-09-2010,1650,2,2,4,11543750,No,24-09-1997,392488,207788,Adj Land
Adyar,01-02-2010,734,1,1,2,5550090,No,08-02-1984,199803,27750,Family
Karapakkam,20-07-2009,1419,2,2,4,7866250,No,28-07-1976,322516,94395,Partial
Chrompet,26-09-2012,1011,1,1,3,11251850,No,03-10-1985,281296,146274,Normal Sale
Adyar,31-12-2010,1225,2,2,4,8393515,No,05-01-1990,251805,33574,Adj Land
Chrompet,28-02-2012,1198,1,1,3,9222850,No,04-03-1993,304354,27669,Adj Land
Karapakkam,10-05-2011,1329,1,1,3,4288625,No,22-05-1962,180122,107216,Ab Normal
Velachery,21-03-2012,1749,2,1,4,12450220,No,01-04-1971,398407,261455,Family
Karapakkam,24-11-2011,1446,2,2,4,11284500,No,01-12-1981,338535,157983,Partial
Chrompet,28-04-2009,1034,1,1,3,9123700,No,02-05-1995,282835,45619,Normal Sale
T Nagar,15-10-2006,1722,1,1,4,12030980,No,18-10-1992,324836,180465,Ab Normal
Anna Nagar,03-11-2010,1978,2,1,5,13363810,No,07-11-1994,414278,106910,Normal Sale
KK Nagar,16-05-2008,2341,4,2,6,18426920,No,20-05-1992,847638,313258,Normal Sale
Chrompet,19-05-2011,1229,2,1,4,13461500,No,21-05-2001,349999,94231,Family
Anna Nagar,07-11-2008,1648,1,1,4,13486940,No,10-11-1998,485530,202304,Ab Normal
T Nagar,30-01-2013,1795,1,1,4,13820610,No,08-02-1980,359336,221130,Family
Velachery,06-01-2010,1889,3,2,5,14837130,No,13-01-1981,445114,311580,Partial
Chrompet,23-08-2014,951,1,1,3,10031100,No,31-08-1980,310964,30093,Normal Sale
Chrompet,30-01-2014,946,1,1,3,7812550,No,04-02-1993,234377,70313,Partial
Velachery,28-02-2012,1697,2,1,4,9586150,No,13-03-1957,316343,143792,Normal Sale
Anna Nagar,11-10-2010,1813,2,1,5,12195890,No,21-10-1970,378073,73175,Partial
Chrompet,11-03-2008,768,1,1,2,6633410,No,19-03-1977,185735,46434,Partial
Adyar,16-08-2007,1199,1,1,3,9882100,No,21-08-1987,395284,19764,Ab Normal
Anna Nagar,13-06-2013,1658,1,1,4,17622540,No,24-06-1971,652034,211470,Partial
Chrompet,10-09-2014,868,1,1,3,7589010,No,12-09-2007,189725,75890,Family
Velachery,08-06-2007,1642,2,1,4,15340410,No,15-06-1979,613616,107383,Adj Land
Velachery,23-02-2006,1645,2,1,4,9287430,No,06-03-1962,325060,74299,Ab Normal
Karapakkam,18-12-2011,1150,1,1,3,5100250,No,23-12-1991,219311,56103,Family
Velachery,07-11-2004,1911,3,2,5,15569210,No,21-11-1951,467076,249107,Family
Anna Nagar,16-12-2006,1903,2,1,5,13191580,No,23-12-1979,474897,171491,Family
Adyar,05-12-2010,816,1,1,3,5742295,No,08-12-1997,229692,17227,Ab Normal
Adyar,29-06-2011,931,1,1,3,10617420,No,01-07-2003,382227,21235,Family
Karapakkam,29-10-2009,1474,2,2,4,7675500,No,04-11-1984,268643,69080,Family
Karapakkam,28-10-2010,968,1,1,3,5801000,No,31-10-1998,290050,52209,Partial
T Nagar,16-02-2008,1827,2,1,5,13258680,No,19-02-1994,450795,212139,Normal Sale
Chrompet,07-11-2013,709,1,1,2,7676450,No,11-11-1998,237970,122823,Normal Sale
KK Nagar,09-03-2008,1464,2,1,4,12009660,No,13-03-1995,456367,96077,Partial
Adyar,02-11-2009,1290,2,2,4,8545605,No,09-11-1982,264914,85456,Adj Land
